feature_subset,level,mean_qwk,std_qwk,n_folds
all,0,0.5234966359995674,0.011646904981390805,5
all,1,0.5696846316679338,0.0025530172563621913,5
all,2,0.4395669689231415,0.003301969041474473,5
all,3,0.14162983796186465,0.024232193300241654,5
fragile,0,0.2816245297348624,0.007018328036181264,5
fragile,1,0.30633176963148545,0.004733934081683092,5
fragile,2,0.17933827766823113,0.006813780176191066,5
fragile,3,-0.03546065911583085,0.029752584573873267,5
robust,0,0.3842898685105551,0.010640470404716482,5
robust,1,0.4281418600496375,0.003487878527686241,5
robust,2,0.3678874977732338,0.004015098902059502,5
robust,3,0.26343949577734255,0.01111261942161788,5
