fold_a,fold_b,spearman_r,p_value,level
0,1,0.9904273504273503,3.7231216402557916e-22,1
0,2,0.9883760683760683,3.786292239460254e-21,1
0,3,0.9904273504273503,3.7231216402557916e-22,1
0,4,0.9883760683760683,3.786292239460254e-21,1
1,2,0.9829059829059829,3.7667838656257772e-19,1
1,3,0.9945299145299145,4.608142725801232e-25,1
1,4,0.9876923076923075,7.491722099204045e-21,1
2,3,0.987008547008547,1.4283639501032402e-20,1
2,4,0.987008547008547,1.4283639501032402e-20,1
3,4,0.9863247863247863,2.6341423251748614e-20,1
0,1,0.9815384615384615,9.419267238367192e-19,2
0,2,0.9876923076923075,7.491722099204045e-21,2
0,3,0.9965811965811966,1.654313069183086e-27,2
0,4,0.9842735042735041,1.3946379048629254e-19,2
1,2,0.9979487179487179,3.6261979571052224e-30,2
1,3,0.9876923076923075,7.491722099204045e-21,2
1,4,0.9945299145299145,4.608142725801232e-25,2
2,3,0.9917948717948717,5.896205941498844e-23,2
2,4,0.9945299145299145,4.608142725801232e-25,2
3,4,0.9876923076923075,7.491722099204045e-21,2
0,1,0.9781196581196581,7.109631956831625e-18,3
0,2,0.9747008547008547,3.9888905613745876e-17,3
0,3,0.976068376068376,2.062033471923825e-17,3
0,4,0.9815384615384615,9.419267238367192e-19,3
1,2,0.9514529914529914,8.819400807192859e-14,3
1,3,0.9623931623931624,4.3578434221923975e-15,3
1,4,0.9658119658119657,1.4132420711983486e-15,3
2,3,0.9863247863247863,2.6341423251748614e-20,3
2,4,0.9897435897435896,8.490862009929897e-22,3
3,4,0.9808547008547008,1.4522063108694316e-18,3
