feature_subset,level,mean_qwk,std_qwk,n_folds
all,0,0.7312067205426352,0.010258588498193813,5
all,1,0.7648141606291576,0.0010455251737137225,5
all,2,0.7090228214877254,0.0045248269253146105,5
all,3,0.5884443888643399,0.017997799040241864,5
fragile,0,0.35329967035510335,0.010743374371665792,5
fragile,1,0.35851111600638647,0.004376316931287041,5
fragile,2,0.2331112411344051,0.008955745682840126,5
fragile,3,-0.027559379038097465,0.031076419647135953,5
robust,0,0.6821922893733838,0.008731074586588696,5
robust,1,0.708671303222672,0.0014569185766785309,5
robust,2,0.6870924254640095,0.0023816396386151057,5
robust,3,0.6165537629750832,0.004234649392977788,5
